0040012006,4.54,2.69,5.41,4.16,0.73,0.15,0.15,0.06,0.06,0.45,2.08,3.13
0040012007,0.81,4.24,0.74,1.27,0.32,0.12,0.18,0.12,0.50,1.51,0.82,3.21
0040012008,7.11,2.76,0.61,0.34,0.54,0.03,0.14,0.12,0.04,0.70,2.41,3.05
0040012009,1.27,4.64,2.26,0.57,1.24,0.60,0.05,0.12,0.09,2.07,0.99,3.15
0040012010,6.48,3.65,2.19,3.47,1.07,0.26,0.07,0.10,0.16,3.00,2.60,8.13
0040012011,1.28,3.34,6.41,1.10,1.44,0.92,0.22,0.10,0.28,1.54,1.69,0.47
0040012012,3.12,1.22,4.74,2.48,0.20,0.32,0.26,0.30,0.10,0.99,3.57,6.15
0040012013,1.19,0.58,1.33,0.71,0.62,0.38,0.28,0.38,0.77,0.26,0.99,0.44
0040012014,0.54,4.02,3.28,1.06,0.35,0.06,0.22,0.45,0.72,1.06,1.84,6.30
0040012015,0.65,2.86,0.78,1.06,0.93,0.23,0.67,0.08,0.33,0.90,1.87,4.69
0040012016,6.39,1.21,4.88,1.52,0.77,0.27,0.06,0.06,0.10,3.82,2.16,4.49
0040012017,9.74,7.79,2.37,2.73,0.42,0.27,0.10,0.25,-9.99,-9.99,-9.99,-9.99
